Vaughn, Andrew,683734,2021,469,321,.235,.242,-0.007,.396,.432,-0.036,.306,.330,-0.024
Schwindel, Frank,643524,2021,259,201,.326,.270,0.056,.591,.451,0.140,.403,.329,0.074
Realmuto, J.T.,592663,2021,537,349,.263,.253,0.010,.439,.416,0.023,.336,.329,0.007
Taylor, Chris,621035,2021,582,344,.254,.237,0.017,.438,.422,0.016,.338,.329,0.009
Duvall, Adam,594807,2021,555,342,.228,.227,0.001,.491,.499,-0.008,.324,.329,-0.005
Piña, Manny,444489,2021,208,143,.189,.218,-0.029,.439,.439,0.000,.315,.329,-0.014
Santander, Anthony,623993,2021,438,310,.241,.269,-0.028,.433,.445,-0.012,.307,.328,-0.021
Plawecki, Kevin,608700,2021,173,132,.287,.258,0.029,.389,.428,-0.039,.325,.327,-0.002
Martini, Nick,605361,2021,45,29,.270,.270,0.000,.297,.407,-0.110,.287,.327,-0.040
Goodwin, Brian,571718,2021,271,179,.221,.248,-0.027,.374,.396,-0.022,.306,.327,-0.021
Gurriel, Yuli,493329,2021,605,474,.319,.271,0.048,.462,.386,0.076,.363,.326,0.037
Adames, Willy,642715,2021,555,342,.262,.236,0.026,.481,.438,0.043,.349,.326,0.023
Mountcastle, Ryan,663624,2021,586,380,.255,.245,0.010,.487,.458,0.029,.335,.326,0.009
Escobar, Eduardo,500871,2021,599,426,.253,.249,0.004,.472,.454,0.018,.334,.326,0.008
Meadows, Austin,640457,2021,591,404,.234,.239,-0.005,.458,.423,0.035,.327,.326,0.001
Suárez, Eugenio,553993,2021,574,339,.198,.215,-0.017,.428,.455,-0.027,.306,.326,-0.020
Alvarez, Eddy,657193,2021,74,46,.188,.239,-0.051,.328,.405,-0.077,.277,.326,-0.049
Anderson, Tim,641313,2021,551,409,.309,.280,0.029,.469,.442,0.027,.345,.325,0.020
Duffy, Matt,622110,2021,322,227,.287,.275,0.012,.381,.385,-0.004,.327,.325,0.002
Walsh, Jared,665120,2021,585,381,.277,.255,0.022,.509,.433,0.076,.357,.325,0.032
Hosmer, Eric,543333,2021,565,413,.269,.267,0.002,.395,.405,-0.010,.319,.325,-0.006
Stephenson, Tyler,663886,2021,402,280,.286,.257,0.029,.431,.390,0.041,.346,.324,0.022
Báez, Javier,595879,2021,547,321,.265,.241,0.024,.494,.455,0.039,.343,.324,0.019
Lowe, Nathaniel,663993,2021,642,398,.264,.236,0.028,.415,.402,0.013,.337,.324,0.013
Marsh, Brandon,669016,2021,260,147,.254,.265,-0.011,.356,.414,-0.058,.296,.324,-0.028
McMahon, Ryan,641857,2021,596,386,.254,.243,0.011,.449,.424,0.025,.334,.324,0.010
Varsho, Daulton,662139,2021,315,218,.246,.248,-0.002,.437,.430,0.007,.322,.324,-0.002
Smith, Dominic,642086,2021,493,340,.244,.262,-0.018,.363,.419,-0.056,.291,.324,-0.033
Frazier, Adam,624428,2021,639,512,.305,.287,0.018,.411,.374,0.037,.341,.323,0.018
Castro, Starlin,516770,2021,346,257,.283,.271,0.012,.375,.410,-0.035,.308,.323,-0.015
Sosa, Edmundo,624641,2021,326,228,.271,.265,0.006,.389,.392,-0.003,.321,.323,-0.002
Calhoun, Willie,641432,2021,284,227,.250,.275,-0.025,.381,.403,-0.022,.301,.323,-0.022
Jiménez, Eloy,650391,2021,231,157,.249,.248,0.001,.437,.442,-0.005,.317,.323,-0.006
Lux, Gavin,666158,2021,381,254,.242,.260,-0.018,.364,.387,-0.023,.303,.323,-0.020
Pujols, Albert,405395,2021,296,232,.236,.256,-0.020,.433,.460,-0.027,.302,.322,-0.020
Haase, Eric,606992,2021,381,234,.231,.235,-0.004,.459,.463,-0.004,.316,.322,-0.006
Sanó, Miguel,593934,2021,532,288,.223,.215,0.008,.466,.439,0.027,.332,.322,0.010
Collins, Zack,641470,2021,231,127,.210,.219,-0.009,.338,.389,-0.051,.300,.322,-0.022
Carlson, Dylan,666185,2021,619,399,.266,.246,0.020,.437,.404,0.033,.336,.321,0.015
Meyers, Jake,676694,2021,163,99,.260,.247,0.013,.438,.426,0.012,.328,.321,0.007
Peterson, Jace,607054,2021,302,193,.247,.238,0.009,.367,.371,-0.004,.318,.321,-0.003
Toro, Abraham,647351,2021,375,283,.239,.246,-0.007,.373,.413,-0.040,.303,.321,-0.018
Thomas, Lane,657041,2021,264,164,.235,.232,0.003,.412,.379,0.033,.328,.321,0.007
Chapman, Matt,656305,2021,622,336,.210,.209,0.001,.403,.422,-0.019,.311,.321,-0.010
Hoerner, Nico,663538,2021,170,125,.302,.279,0.023,.369,.358,0.011,.330,.320,0.010
Kemp, Tony,643393,2021,397,288,.279,.249,0.030,.418,.347,0.071,.351,.320,0.031
Wisdom, Patrick,621550,2021,375,185,.231,.216,0.015,.518,.460,0.058,.345,.320,0.025
Seager, Kyle,572122,2021,670,446,.212,.222,-0.010,.438,.454,-0.016,.308,.320,-0.012
Owings, Chris,572008,2021,50,28,.326,.216,0.110,.628,.413,0.215,.431,.319,0.112
Vierling, Matt,663837,2021,77,52,.324,.292,0.032,.479,.411,0.068,.356,.319,0.037
Ibáñez, Andy,628451,2021,272,220,.277,.263,0.014,.435,.413,0.022,.325,.319,0.006
Contreras, William,661388,2021,185,110,.215,.230,-0.015,.399,.417,-0.018,.303,.319,-0.016
Upton, Justin,457708,2021,362,214,.211,.224,-0.013,.409,.426,-0.017,.304,.319,-0.015
Segura, Jean,516416,2021,567,441,.290,.265,0.025,.436,.394,0.042,.338,.318,0.020
Rosario, Eddie,592696,2021,412,324,.259,.254,0.005,.435,.425,0.010,.316,.318,-0.002
Díaz, Aledmys,649557,2021,319,232,.259,.267,-0.008,.405,.411,-0.006,.311,.318,-0.007
Margot, Manuel,622534,2021,464,356,.254,.268,-0.014,.382,.396,-0.014,.301,.318,-0.017
Stassi, Max,545358,2021,319,182,.241,.228,0.013,.426,.414,0.012,.327,.318,0.009
