Mike Mayers,LAA,12.00,3.75,3.20,0.75,32.0%,10.0%,22.0%,.205,1.17,.296,80.9%,2.25,3.11,-0.86,4.27,15451
Codi Heuer,CHW,9.00,2.77,3.25,0.69,26.0%,8.0%,18.0%,.174,0.92,.219,75.5%,2.77,3.11,-0.35,3.45,23293
Brent Suter,MIL,10.80,1.20,9.00,1.20,27.3%,3.0%,24.2%,.302,1.40,.395,67.7%,4.20,3.12,1.08,3.06,13942
Tyler Mahle,CIN,13.20,5.40,2.44,0.60,31.0%,12.7%,18.3%,.254,1.60,.368,63.6%,4.80,3.12,1.68,4.44,16358
Freddy Peralta,MIL,15.85,4.11,3.86,1.17,39.1%,10.1%,29.0%,.241,1.37,.387,69.3%,5.28,3.13,2.16,3.19,18679
Tejay Antone,CIN,11.44,5.03,2.27,0.46,31.6%,13.9%,17.7%,.182,1.17,.268,88.5%,1.83,3.14,-1.31,4.05,16233
Zack Greinke,HOU,6.91,1.32,5.25,0.66,18.8%,3.6%,15.2%,.264,1.17,.310,66.2%,4.28,3.15,1.13,4.11,1943
Charlie Morton,TBR,10.59,3.18,3.33,0.53,26.7%,8.0%,18.7%,.227,1.24,.311,79.6%,3.18,3.19,-0.01,3.90,4676
Masahiro Tanaka,NYY,8.84,1.86,4.75,0.93,24.1%,5.1%,19.0%,.240,1.14,.296,67.7%,2.33,3.19,-0.86,3.64,15764
Kyle Zimmer,KCR,10.13,5.91,1.71,0.00,28.6%,16.7%,11.9%,.118,1.03,.182,91.7%,0.84,3.19,-2.35,4.64,14169
Framber Valdez,HOU,8.78,1.35,6.50,0.90,23.6%,3.6%,20.0%,.260,1.15,.319,66.8%,3.60,3.22,0.38,3.12,17295
Garrett Richards,SDP,7.79,1.39,5.60,0.84,22.0%,3.9%,18.1%,.248,1.08,.300,81.8%,2.78,3.22,-0.44,3.57,9784
Sonny Gray,CIN,9.00,5.76,1.56,0.00,22.1%,14.2%,8.0%,.229,1.52,.310,66.7%,4.68,3.23,1.45,4.54,12768
Jose Cisnero,DET,10.13,3.38,3.00,0.56,27.3%,9.1%,18.2%,.190,1.06,.256,79.5%,2.81,3.25,-0.44,4.25,6399
Ryan Yarbrough,TBR,6.90,2.40,2.88,0.30,18.3%,6.3%,11.9%,.234,1.13,.278,71.0%,3.60,3.29,0.31,4.46,16502
Josh Tomlin,ATL,8.15,3.06,2.67,0.51,20.5%,7.7%,12.8%,.304,1.53,.370,56.4%,6.11,3.30,2.81,5.08,9388
Zack Wheeler,PHI,9.09,2.56,3.56,0.57,23.5%,6.6%,16.9%,.254,1.26,.330,71.1%,3.69,3.32,0.38,3.53,10310
Duane Underwood Jr.,CHC,11.57,2.57,4.50,1.29,30.5%,6.8%,23.7%,.296,1.43,.400,69.8%,5.14,3.33,1.81,3.54,14677
